clubs,date,facilities,food,happiness,helpful,internet,location,opportunities,reputation,school,social,unhelpful
5,06/22/2017,4,4,4,1,5,4,5,5,Stanford University,3,0
3,12/13/2016,4,4,5,2,4,4,4,5,Stanford University,5,4
3,11/11/2016,5,3,4,1,4,4,5,5,Stanford University,5,3
4,10/16/2016,5,5,5,1,4,5,5,5,Stanford University,5,3
4,09/03/2016,4,3,4,4,4,4,5,4,Stanford University,4,8
5,08/07/2016,5,5,3,7,2,4,3,3,Stanford University,5,17
5,08/07/2016,5,5,5,18,5,5,5,5,Stanford University,5,11
2,07/11/2016,3,3,3,4,2,3,4,4,Stanford University,2,2
1,05/20/2016,4,1,4,6,5,5,5,5,Stanford University,1,4
5,05/17/2016,5,5,5,1,5,5,5,5,Stanford University,5,5
3,02/21/2016,4,4,4,16,5,4,5,5,Stanford University,3,14
3,02/11/2016,5,3,3,3,3,3,4,5,Stanford University,3,2
4,01/11/2016,5,5,5,4,5,5,3,5,Stanford University,4,4
4,12/05/2015,2,3,4,2,1,4,5,5,Stanford University,3,7
5,11/24/2015,5,4,5,19,5,5,5,5,Stanford University,5,5
5,10/16/2015,5,5,5,5,5,5,5,5,Stanford University,5,2
5,10/03/2015,5,5,5,3,5,5,5,5,Stanford University,5,4
3,09/01/2015,4,3,2,23,4,5,4,5,Stanford University,2,5
4,08/10/2015,4,4,5,5,5,5,5,5,Stanford University,4,7
4,08/10/2015,5,4,4,5,4,4,5,5,Stanford University,5,8
2,07/28/2015,3,3,4,23,4,4,3,4,Stanford University,3,23
5,06/11/2015,5,5,5,11,5,5,5,5,Stanford University,5,11
5,03/24/2015,5,4,4,2,5,5,5,5,Stanford University,5,18
5,10/31/2014,5,4,4,10,3,5,5,5,Stanford University,5,6
3,10/23/2014,1,1,1,37,1,3,2,5,Stanford University,1,30
3,10/21/2014,3,4,5,11,3,1,3,5,Stanford University,3,18
5,10/14/2014,5,5,4,12,5,5,5,5,Stanford University,5,6
5,10/13/2014,4,4,4,8,3,5,5,5,Stanford University,5,7
5,09/27/2014,5,5,5,4,5,5,5,5,Stanford University,5,22
5,08/25/2014,5,3,4,1,5,5,5,5,Stanford University,5,16
2,08/16/2014,3,1,1,53,3,3,1,3,Stanford University,3,14
5,07/15/2014,5,5,5,12,5,5,5,5,Stanford University,5,10
5,10/15/2013,4,5,5,2,5,5,1,5,Stanford University,5,13
1,08/26/2013,1,1,1,12,1,1,1,1,Stanford University,1,19
5,07/24/2013,5,4,4,2,4,4,1,5,Stanford University,5,10
4,03/15/2013,5,4,5,2,5,4,5,5,Stanford University,5,16
5,02/18/2013,5,5,5,7,4,5,5,5,Stanford University,5,11
5,11/22/2012,5,5,4,1,5,5,5,5,Stanford University,5,10
5,10/05/2012,5,5,5,0,5,5,5,5,Stanford University,5,8
5,08/04/2012,4,4,4,15,5,5,5,5,Stanford University,5,1
5,05/22/2012,5,2,3,0,5,5,5,5,Stanford University,5,5
5,05/04/2012,5,5,5,10,5,5,5,5,Stanford University,5,3
3,12/30/2011,3,1,2,15,2,1,1,2,Stanford University,3,2
5,12/06/2011,5,3,4,8,5,4,5,5,Stanford University,5,0
5,12/03/2011,4,4,3,0,4,5,5,5,Stanford University,4,3
5,11/28/2011,5,5,5,0,5,5,1,5,Stanford University,5,3
5,11/12/2011,5,3,3,0,5,4,5,5,Stanford University,5,3
5,10/27/2011,3,2,1,0,3,3,3,5,Stanford University,3,3
5,10/27/2011,5,5,5,4,5,5,5,5,Stanford University,5,4
5,08/29/2011,4,3,4,0,5,2,5,5,Stanford University,5,2
5,07/27/2011,5,4,5,0,5,5,5,5,Stanford University,5,1
5,06/11/2011,5,5,5,1,5,4,5,5,Stanford University,5,3
5,06/04/2011,5,5,5,0,5,5,5,5,Stanford University,5,2
5,04/19/2011,5,2,3,0,5,5,5,5,Stanford University,5,1
5,03/13/2011,5,5,5,0,5,5,5,5,Stanford University,5,1
2,02/24/2011,5,2,4,12,5,3,1,4,Stanford University,5,0
1,01/20/2011,1,1,1,0,1,1,1,1,Stanford University,1,1
5,12/22/2010,5,4,5,0,5,5,5,5,Stanford University,5,1
5,12/18/2010,4,2,3,11,4,5,3,3,Stanford University,5,0
5,12/07/2010,5,4,5,4,5,5,5,5,Stanford University,5,0
5,12/05/2010,4,5,4,0,5,5,5,5,Stanford University,5,1
5,12/02/2010,5,5,5,0,5,5,5,5,Stanford University,5,1
5,11/28/2010,5,4,5,0,4,5,5,5,Stanford University,5,1
5,09/18/2010,5,5,4,1,5,5,5,5,Stanford University,5,0
5,09/13/2010,5,5,5,0,5,5,5,5,Stanford University,5,1
1,09/12/2010,1,1,1,3,1,1,1,1,Stanford University,1,0
5,08/17/2010,5,5,5,0,5,5,5,5,Stanford University,5,0
4,05/18/2010,5,4,4,0,5,3,5,5,Stanford University,5,0
5,04/22/2010,5,5,5,1,5,5,5,5,Stanford University,5,0
4,06/21/2017,5,4,4,0,5,3,5,5,Williams College,4,0
1,04/06/2017,3,1,3,1,5,2,3,4,Williams College,2,1
4,11/08/2016,4,2,3,0,3,2,5,5,Williams College,3,1
3,08/06/2016,4,3,5,2,5,4,5,5,Williams College,4,3
5,02/04/2015,5,4,5,2,4,4,5,5,Williams College,5,4
5,07/20/2013,5,5,5,1,5,5,5,5,Williams College,5,4
3,03/28/2013,4,2,1,5,4,1,5,5,Williams College,3,6
3,11/29/2012,5,4,5,5,4,4,5,5,Williams College,2,1
3,07/12/2012,5,4,5,2,5,5,5,5,Williams College,3,2
5,10/17/2011,5,5,5,1,5,5,5,5,Williams College,5,3
5,09/07/2011,5,2,5,0,2,5,5,5,Williams College,5,4
5,05/07/2011,5,5,5,0,5,3,4,5,Williams College,4,2
4,09/06/2010,3,3,3,4,3,1,2,5,Williams College,2,2
5,08/13/2010,5,5,5,0,5,5,5,5,Williams College,5,3
5,06/24/2010,5,5,5,0,5,5,5,5,Williams College,5,2
5,07/06/2017,4,5,4,0,3,3,4,5,Princeton University,5,0
4,03/24/2017,5,5,3,5,4,5,5,5,Princeton University,4,1
2,03/05/2016,5,5,5,3,5,5,5,5,Princeton University,5,7
5,10/03/2015,5,5,5,5,4,5,5,5,Princeton University,5,6
5,05/30/2015,5,5,5,7,5,5,5,5,Princeton University,5,8
4,04/26/2015,5,4,5,5,4,5,4,5,Princeton University,5,12
5,11/08/2014,5,5,5,2,5,4,5,5,Princeton University,5,9
5,11/02/2014,5,5,5,6,4,5,5,5,Princeton University,5,8
1,10/27/2014,1,1,1,23,1,5,1,5,Princeton University,1,31
3,10/23/2014,3,3,3,23,4,4,3,5,Princeton University,3,11
1,08/18/2014,3,1,1,15,3,2,2,3,Princeton University,1,25
5,06/11/2014,5,5,5,9,5,5,5,5,Princeton University,5,14
5,06/07/2014,5,5,5,5,5,5,5,5,Princeton University,5,7
1,04/28/2014,1,1,3,6,1,1,4,4,Princeton University,1,7
5,02/16/2014,4,4,3,2,2,5,4,3,Princeton University,5,3
4,03/02/2013,5,4,5,12,4,3,4,5,Princeton University,4,3
5,11/02/2012,5,5,5,2,4,5,5,5,Princeton University,5,2
5,10/06/2012,5,5,5,3,5,5,5,5,Princeton University,5,4
4,09/20/2012,5,4,5,3,2,5,5,5,Princeton University,4,6
5,08/31/2012,5,5,5,3,5,5,5,5,Princeton University,5,2
5,08/31/2012,5,5,5,2,5,5,5,5,Princeton University,5,0
5,07/01/2012,4,5,4,0,5,4,5,5,Princeton University,4,3
5,06/10/2012,5,5,4,0,3,5,5,5,Princeton University,5,1
5,01/19/2012,5,5,4,0,5,4,5,5,Princeton University,5,0
5,11/02/2011,5,4,5,0,4,3,5,5,Princeton University,5,0
5,09/13/2011,5,5,5,0,5,5,5,5,Princeton University,5,1
5,08/30/2011,4,4,5,0,4,5,5,5,Princeton University,5,0
5,08/14/2011,5,5,5,0,5,5,5,5,Princeton University,5,1
5,07/30/2011,5,5,5,0,5,5,5,5,Princeton University,5,0
5,07/15/2011,5,5,5,0,5,5,5,5,Princeton University,5,0
5,04/22/2011,5,4,5,0,4,4,5,5,Princeton University,5,0
5,03/04/2011,5,5,5,0,5,5,5,5,Princeton University,5,1
5,01/05/2011,5,5,5,0,5,4,5,5,Princeton University,5,1
5,12/13/2010,5,5,5,0,4,4,5,5,Princeton University,5,1
5,09/24/2010,5,4,5,0,5,5,5,5,Princeton University,5,1
5,09/16/2010,4,4,4,1,5,4,5,5,Princeton University,5,1
1,08/22/2010,1,1,1,0,1,1,1,1,Princeton University,1,2
1,05/25/2010,1,1,1,0,1,1,1,1,Princeton University,1,2
1,06/17/2017,1,1,1,1,1,1,1,2,Harvard University,1,2
1,05/27/2017,1,1,1,4,1,5,1,5,Harvard University,1,0
1,05/16/2017,3,1,1,6,4,2,5,5,Harvard University,1,2
1,04/26/2017,3,2,4,10,2,1,4,5,Harvard University,1,2
1,04/26/2017,2,1,3,7,3,1,5,5,Harvard University,1,0
4,04/17/2017,4,4,3,6,4,3,4,5,Harvard University,3,7
2,03/31/2017,3,3,2,9,1,4,3,4,Harvard University,1,1
5,03/19/2017,5,5,5,4,5,5,5,5,Harvard University,5,5
5,02/28/2017,3,5,2,8,3,3,5,1,Harvard University,5,1
5,12/14/2016,5,5,5,8,5,5,5,5,Harvard University,5,7
4,09/19/2016,5,5,5,20,5,4,4,5,Harvard University,5,35
5,07/14/2016,5,5,5,28,5,5,5,5,Harvard University,5,23
4,06/12/2016,5,3,5,13,4,3,4,5,Harvard University,4,14
4,05/05/2016,5,5,5,22,4,4,5,5,Harvard University,5,6
4,01/14/2016,4,2,3,12,3,3,3,5,Harvard University,2,10
3,12/20/2015,4,3,3,50,4,3,2,5,Harvard University,1,10
4,11/05/2015,5,3,3,7,3,4,5,5,Harvard University,2,8
1,10/30/2015,5,1,1,62,5,5,5,5,Harvard University,1,8
4,09/09/2015,5,3,3,57,5,4,5,5,Harvard University,4,61
2,06/01/2015,3,2,1,61,3,3,1,4,Harvard University,3,12
4,06/01/2015,4,3,1,26,3,4,2,5,Harvard University,4,7
5,03/01/2015,5,5,5,53,5,5,5,5,Harvard University,5,14
5,01/26/2015,5,5,5,28,5,5,1,5,Harvard University,5,20
1,01/21/2015,5,1,4,28,3,3,3,4,Harvard University,4,77
4,12/28/2014,4,4,4,7,4,4,4,4,Harvard University,4,38
5,12/16/2014,5,3,3,7,4,4,3,5,Harvard University,5,42
3,11/01/2014,4,3,3,21,4,4,2,5,Harvard University,4,19
1,10/29/2014,1,1,1,30,1,1,1,1,Harvard University,1,44
5,10/15/2014,5,5,5,7,5,5,5,5,Harvard University,5,28
5,09/02/2014,5,5,4,14,4,5,5,5,Harvard University,5,14
3,07/15/2014,4,3,1,43,2,4,3,5,Harvard University,4,6
5,12/09/2013,5,5,5,17,5,5,5,5,Harvard University,5,10
5,10/10/2013,5,4,3,8,5,5,5,5,Harvard University,5,9
1,07/16/2013,1,1,1,59,1,1,1,1,Harvard University,1,39
5,02/05/2013,5,2,2,5,3,2,5,5,Harvard University,5,9
5,01/11/2013,5,5,5,2,5,5,5,5,Harvard University,5,23
1,01/07/2013,1,5,1,20,1,1,1,1,Harvard University,1,29
5,11/27/2012,5,4,5,6,4,5,5,5,Harvard University,5,9
3,11/08/2012,2,1,1,20,1,2,1,4,Harvard University,2,9
1,11/06/2012,1,1,1,12,1,1,1,1,Harvard University,1,10
5,10/19/2012,5,5,5,6,5,5,5,5,Harvard University,5,8
1,04/30/2012,1,1,1,5,1,3,1,1,Harvard University,1,10
5,04/24/2012,5,4,4,26,4,3,5,5,Harvard University,5,5
5,04/02/2012,5,5,5,0,5,5,5,5,Harvard University,5,7
5,01/17/2012,5,1,5,2,1,2,1,1,Harvard University,3,7
1,10/04/2011,1,1,1,2,1,1,1,1,Harvard University,1,9
5,05/03/2011,5,4,4,8,5,3,5,5,Harvard University,5,3
4,12/29/2010,4,4,4,2,4,4,5,4,Harvard University,4,4
5,12/21/2010,5,4,4,2,4,5,5,5,Harvard University,5,3
1,12/11/2010,3,2,2,1,2,2,3,4,Harvard University,3,4
5,12/07/2010,5,3,4,1,4,5,5,5,Harvard University,5,5
4,09/14/2010,5,4,4,2,4,4,5,5,Harvard University,5,2
4,09/04/2010,4,1,4,2,4,2,5,4,Harvard University,4,2
5,08/30/2010,5,5,5,3,5,5,5,5,Harvard University,5,2
1,08/22/2010,1,1,1,1,1,1,1,1,Harvard University,1,3
5,08/04/2010,5,5,5,4,5,5,5,5,Harvard University,5,4
5,07/01/2010,5,5,4,2,4,5,5,5,Harvard University,5,3
5,06/19/2010,5,5,5,1,5,5,5,5,Harvard University,5,3
1,04/16/2010,1,5,1,1,5,1,1,5,Harvard University,1,6
1,04/16/2010,1,1,1,1,1,1,1,1,Harvard University,1,4
2,10/23/2016,5,4,3,2,5,5,4,5,Massachusetts Institute of Technology,2,4
1,08/02/2016,2,1,1,14,2,1,1,1,Massachusetts Institute of Technology,1,6
1,07/22/2016,1,2,1,16,2,3,2,1,Massachusetts Institute of Technology,1,4
3,05/22/2016,4,1,2,15,2,2,3,1,Massachusetts Institute of Technology,3,4
4,04/16/2016,5,4,3,7,5,5,5,5,Massachusetts Institute of Technology,3,12
3,03/31/2016,5,4,4,0,5,5,5,5,Massachusetts Institute of Technology,3,11
5,11/09/2015,3,5,5,6,5,5,5,5,Massachusetts Institute of Technology,5,1
3,10/04/2015,5,5,5,1,5,5,5,5,Massachusetts Institute of Technology,5,9
4,09/22/2015,4,4,5,5,4,4,5,5,Massachusetts Institute of Technology,5,3
4,09/22/2015,5,4,3,2,4,4,5,5,Massachusetts Institute of Technology,3,9
2,08/03/2015,3,2,1,12,3,3,5,5,Massachusetts Institute of Technology,2,17
5,04/24/2015,4,3,4,6,5,5,5,5,Massachusetts Institute of Technology,4,8
4,04/14/2015,4,3,3,21,4,3,4,4,Massachusetts Institute of Technology,4,6
4,12/23/2014,4,4,5,2,5,4,5,5,Massachusetts Institute of Technology,4,16
4,12/08/2014,5,4,5,14,4,4,5,4,Massachusetts Institute of Technology,4,8
4,11/26/2014,4,3,3,18,4,4,4,5,Massachusetts Institute of Technology,3,8
3,07/24/2014,3,1,3,16,5,4,3,5,Massachusetts Institute of Technology,2,19
5,07/16/2014,5,5,5,18,5,5,5,5,Massachusetts Institute of Technology,5,5
5,07/15/2014,5,5,5,5,5,5,5,5,Massachusetts Institute of Technology,5,16
3,10/09/2013,5,3,3,10,5,5,1,4,Massachusetts Institute of Technology,4,13
5,09/17/2013,5,3,5,2,5,5,5,5,Massachusetts Institute of Technology,5,20
5,07/11/2013,5,3,4,3,5,5,5,5,Massachusetts Institute of Technology,5,17
5,03/29/2013,5,4,5,3,4,4,5,5,Massachusetts Institute of Technology,5,6
1,09/07/2012,1,1,1,13,1,1,1,1,Massachusetts Institute of Technology,1,34
5,05/28/2012,5,4,2,4,4,3,5,5,Massachusetts Institute of Technology,4,8
3,05/23/2012,2,3,1,3,4,3,1,5,Massachusetts Institute of Technology,2,8
5,04/21/2012,5,4,4,3,5,5,5,5,Massachusetts Institute of Technology,5,3
5,12/06/2011,4,5,4,6,5,5,5,5,Massachusetts Institute of Technology,5,1
5,08/15/2011,3,5,4,1,5,5,5,5,Massachusetts Institute of Technology,3,9
5,06/24/2011,1,1,2,0,5,4,1,1,Massachusetts Institute of Technology,2,8
2,06/04/2011,2,1,1,0,2,1,1,2,Massachusetts Institute of Technology,2,4
5,03/29/2011,5,5,5,2,5,5,5,5,Massachusetts Institute of Technology,5,5
5,03/24/2011,4,1,4,3,5,5,5,5,Massachusetts Institute of Technology,5,1
3,02/09/2011,4,2,3,0,4,4,5,5,Massachusetts Institute of Technology,4,1
5,11/26/2010,4,3,5,2,4,4,5,5,Massachusetts Institute of Technology,4,1
5,10/21/2010,5,5,5,0,5,5,5,5,Massachusetts Institute of Technology,5,0
5,10/16/2010,5,3,3,0,5,5,5,5,Massachusetts Institute of Technology,4,0
4,05/23/2010,5,3,5,3,5,4,5,5,Massachusetts Institute of Technology,5,0
2,11/21/2016,2,3,3,5,3,2,3,3,Yale University,2,8
2,10/27/2016,2,2,2,4,2,2,2,2,Yale University,2,9
4,04/25/2016,5,5,5,4,4,4,5,5,Yale University,4,29
3,04/24/2016,4,3,3,0,3,4,4,4,Yale University,2,4
4,04/19/2016,4,2,3,28,3,1,5,5,Yale University,1,5
5,01/09/2016,5,4,5,5,4,3,1,5,Yale University,5,3
3,09/01/2015,5,3,2,23,3,3,4,5,Yale University,1,2
5,01/28/2015,5,5,5,23,5,4,5,5,Yale University,5,5
2,01/09/2015,5,4,4,25,5,2,4,5,Yale University,3,2
4,12/13/2014,5,3,5,11,3,3,5,5,Yale University,5,4
5,12/10/2014,5,5,5,6,5,5,5,5,Yale University,5,4
5,11/01/2014,5,5,5,3,4,4,5,5,Yale University,5,2
5,06/13/2014,5,4,5,1,4,3,5,5,Yale University,4,8
5,06/01/2014,5,5,5,1,5,5,5,5,Yale University,5,10
5,02/27/2014,5,4,5,7,5,5,5,5,Yale University,5,2
1,12/17/2013,3,1,3,9,1,2,1,5,Yale University,1,10
5,08/02/2013,5,5,5,1,5,4,5,5,Yale University,5,14
5,12/23/2012,5,5,5,1,5,5,5,5,Yale University,5,12
4,05/11/2012,5,4,5,0,4,4,5,5,Yale University,5,7
5,03/19/2012,5,4,5,1,5,3,5,5,Yale University,5,11
5,03/13/2012,5,5,5,2,5,4,5,5,Yale University,5,13
5,01/08/2012,5,5,5,0,5,5,5,5,Yale University,5,10
4,01/05/2012,5,5,4,1,5,2,5,4,Yale University,5,8
5,11/28/2011,5,5,5,0,5,5,5,5,Yale University,5,9
5,11/11/2011,5,5,5,1,5,4,5,5,Yale University,5,8
5,10/27/2011,5,5,4,1,4,4,5,5,Yale University,5,0
2,05/05/2011,3,2,1,0,1,2,3,2,Yale University,2,5
5,04/08/2011,5,5,5,1,5,5,5,5,Yale University,5,2
5,03/13/2011,5,5,5,0,5,4,5,5,Yale University,5,3
4,02/10/2011,5,5,4,0,5,3,3,5,Yale University,5,3
1,01/22/2011,3,2,4,0,1,1,1,2,Yale University,3,4
4,09/22/2010,3,3,3,1,3,2,3,4,Yale University,3,3
5,09/20/2010,4,3,3,0,3,3,3,5,Yale University,4,2
4,09/18/2010,4,3,4,0,5,4,5,4,Yale University,4,3
5,09/07/2010,5,5,5,0,5,4,5,5,Yale University,5,1
5,08/11/2010,5,4,4,0,5,4,5,5,Yale University,5,1
5,08/07/2010,5,5,4,0,5,4,5,5,Yale University,5,1
4,06/03/2017,5,4,3,0,3,5,5,5,Pomona College,3,0
5,04/30/2017,5,4,5,1,4,4,5,3,Pomona College,5,0
4,04/25/2017,5,5,5,1,3,5,5,5,Pomona College,3,1
4,04/24/2016,5,5,4,1,3,4,4,4,Pomona College,4,8
5,01/03/2016,5,5,5,2,4,5,5,5,Pomona College,4,1
5,12/19/2015,5,5,5,2,5,5,5,5,Pomona College,5,0
4,11/01/2015,4,4,5,4,3,5,4,5,Pomona College,4,0
5,08/15/2015,5,5,5,3,5,5,5,5,Pomona College,5,1
2,07/22/2015,4,3,3,5,4,5,5,4,Pomona College,1,27
5,04/30/2015,5,5,5,4,5,5,5,5,Pomona College,5,1
4,04/22/2015,5,4,5,7,3,5,5,5,Pomona College,4,1
5,04/16/2015,5,5,5,4,5,5,5,5,Pomona College,5,2
4,11/23/2014,5,5,5,7,5,4,5,5,Pomona College,5,3
5,11/09/2014,5,5,5,5,5,5,5,5,Pomona College,4,3
5,11/09/2014,5,5,5,3,5,4,5,5,Pomona College,4,1
4,11/08/2014,5,5,5,4,4,5,5,5,Pomona College,5,1
4,11/07/2014,5,5,5,5,3,5,5,5,Pomona College,4,1
5,10/04/2014,5,3,4,4,3,5,5,5,Pomona College,4,0
5,09/06/2014,5,5,5,2,5,5,5,5,Pomona College,5,0
5,08/06/2014,5,5,5,4,5,5,5,5,Pomona College,5,0
5,07/12/2014,5,5,5,2,5,5,5,5,Pomona College,5,0
5,06/01/2014,5,5,5,2,5,5,5,5,Pomona College,5,0
5,04/25/2014,5,5,5,2,5,5,5,5,Pomona College,5,0
5,02/20/2014,5,5,5,3,5,5,5,5,Pomona College,5,0
5,01/26/2014,5,5,4,1,5,5,5,5,Pomona College,5,0
4,01/17/2014,5,5,5,1,4,5,5,5,Pomona College,5,0
5,01/06/2014,5,3,3,3,5,5,5,5,Pomona College,5,0
5,09/16/2013,5,5,4,1,5,5,5,5,Pomona College,5,0
5,08/01/2013,5,5,5,0,5,5,5,5,Pomona College,5,0
5,07/26/2013,4,5,5,1,5,5,5,5,Pomona College,5,0
4,06/17/2013,4,4,4,1,5,5,5,5,Pomona College,5,0
5,04/25/2013,5,5,5,0,5,5,5,5,Pomona College,5,0
4,03/28/2013,4,5,4,0,4,4,5,5,Pomona College,5,0
5,02/06/2013,5,5,5,0,4,5,5,5,Pomona College,5,0
5,01/04/2013,4,4,4,0,5,5,5,5,Pomona College,5,0
4,12/28/2012,4,5,4,0,5,5,5,5,Pomona College,5,0
4,11/14/2012,5,4,3,0,4,4,5,5,Pomona College,5,0
4,08/02/2012,5,5,5,0,5,5,5,5,Pomona College,5,0
5,04/26/2012,5,5,5,0,5,5,5,5,Pomona College,5,0
5,04/16/2012,4,4,4,0,2,4,5,5,Pomona College,5,0
5,12/24/2011,5,5,1,0,5,5,1,5,Pomona College,5,2
5,12/14/2011,5,5,5,0,5,5,5,5,Pomona College,5,0
5,06/03/2011,4,5,5,0,5,4,5,5,Pomona College,5,0
4,04/06/2011,5,5,4,0,5,4,5,5,Pomona College,5,0
4,12/22/2010,5,5,5,0,2,3,5,4,Pomona College,5,0
4,09/23/2010,4,4,4,0,3,5,5,5,Pomona College,5,0
5,08/28/2010,5,5,5,0,5,4,5,5,Pomona College,5,0
4,08/09/2010,5,4,4,0,5,5,5,5,Pomona College,5,0
4,08/06/2010,5,2,4,0,5,5,5,5,Pomona College,5,0
4,05/02/2010,4,2,4,0,2,4,5,5,Pomona College,5,0
5,06/10/2017,5,5,5,1,5,4,5,5,Brown University,5,0
4,02/02/2017,5,5,5,1,5,4,4,5,Brown University,4,0
3,11/29/2016,3,2,2,2,2,3,3,4,Brown University,3,1
5,10/11/2016,4,4,5,0,5,4,5,5,Brown University,5,0
3,04/04/2016,4,3,4,6,4,4,4,4,Brown University,3,2
5,03/02/2016,4,4,5,2,5,4,5,5,Brown University,5,2
4,02/21/2016,5,4,5,1,5,4,5,5,Brown University,4,2
4,01/10/2016,5,4,5,3,5,3,4,5,Brown University,4,2
5,08/11/2015,5,4,5,1,4,5,5,5,Brown University,5,2
5,02/11/2015,5,4,5,3,4,4,4,5,Brown University,5,2
5,01/15/2015,5,4,5,11,4,5,5,5,Brown University,4,5
5,12/20/2014,5,5,5,5,5,5,5,5,Brown University,5,2
4,12/17/2014,5,5,5,7,4,5,5,5,Brown University,5,1
4,09/07/2014,5,4,5,8,5,4,5,5,Brown University,5,0
4,07/30/2014,4,2,5,8,4,5,4,5,Brown University,4,1
5,06/07/2014,5,5,5,5,5,5,5,5,Brown University,5,0
5,01/27/2014,5,5,1,1,5,5,5,5,Brown University,5,3
4,01/27/2014,5,5,5,1,4,4,4,5,Brown University,4,3
3,10/10/2013,3,2,1,2,4,2,1,2,Brown University,3,19
5,09/10/2013,5,5,5,8,5,5,5,5,Brown University,5,1
5,05/26/2013,5,3,5,7,5,4,5,5,Brown University,5,3
3,07/06/2012,5,4,4,1,5,5,5,4,Brown University,5,7
5,07/01/2012,5,4,5,3,4,5,5,5,Brown University,5,1
5,05/04/2012,5,4,5,1,5,5,5,5,Brown University,5,3
5,12/26/2011,5,5,5,0,5,5,5,5,Brown University,5,0
5,11/29/2011,5,4,5,0,5,5,5,5,Brown University,5,0
5,06/16/2011,5,5,5,0,5,5,5,5,Brown University,5,0
5,04/20/2011,5,5,5,0,5,5,5,5,Brown University,5,0
4,04/20/2011,5,3,5,4,4,5,5,5,Brown University,5,1
4,01/28/2011,5,4,3,0,3,4,5,5,Brown University,5,0
1,01/19/2011,1,2,1,2,2,1,1,1,Brown University,2,0
5,11/06/2010,5,5,5,0,5,5,5,5,Brown University,5,0
5,10/12/2010,5,4,5,2,5,5,5,5,Brown University,5,0
5,10/03/2010,5,5,5,0,4,5,5,5,Brown University,5,0
5,08/14/2010,5,3,5,4,5,5,5,5,Brown University,5,1
3,05/26/2017,4,3,3,3,3,2,4,4,Indiana Wesleyan University,3,0
3,05/16/2017,5,4,5,0,5,4,4,4,Indiana Wesleyan University,5,0
3,02/16/2017,4,3,4,1,3,3,4,4,Indiana Wesleyan University,4,1
2,02/09/2017,4,1,5,1,3,2,4,5,Indiana Wesleyan University,4,1
2,01/30/2017,3,1,2,2,1,2,2,4,Indiana Wesleyan University,2,4
3,01/30/2017,5,4,5,1,5,4,4,5,Indiana Wesleyan University,4,1
5,01/02/2017,5,5,5,0,5,5,5,5,Indiana Wesleyan University,5,2
2,11/23/2016,4,3,4,1,1,3,3,5,Indiana Wesleyan University,3,1
1,11/10/2016,3,4,5,0,2,2,4,4,Indiana Wesleyan University,3,2
1,11/02/2016,5,3,3,0,4,3,3,4,Indiana Wesleyan University,2,0
4,07/29/2016,3,4,3,2,3,3,4,4,Indiana Wesleyan University,5,0
1,06/15/2016,5,4,5,0,3,3,5,5,Indiana Wesleyan University,4,0
3,04/18/2016,5,3,4,0,3,3,4,4,Indiana Wesleyan University,3,0
4,04/05/2016,5,4,5,1,3,4,5,5,Indiana Wesleyan University,5,1
2,03/23/2016,4,4,4,2,4,3,4,3,Indiana Wesleyan University,4,0
1,12/01/2015,5,3,5,0,3,3,4,4,Indiana Wesleyan University,5,2
5,11/16/2015,4,3,5,0,3,3,5,4,Indiana Wesleyan University,5,2
1,11/10/2015,3,2,2,0,2,1,4,2,Indiana Wesleyan University,2,7
4,07/26/2015,5,3,4,4,3,3,4,5,Indiana Wesleyan University,5,0
3,07/24/2015,4,4,5,3,3,2,4,5,Indiana Wesleyan University,5,0
4,07/04/2015,4,3,5,2,4,3,5,4,Indiana Wesleyan University,5,1
4,04/22/2015,4,3,5,1,3,4,5,5,Indiana Wesleyan University,5,1
3,04/22/2015,4,3,4,2,3,2,4,4,Indiana Wesleyan University,5,0
5,03/15/2015,4,3,5,1,4,3,5,5,Indiana Wesleyan University,5,0
3,02/03/2015,3,4,3,0,3,3,4,4,Indiana Wesleyan University,4,0
4,01/28/2015,3,4,5,1,3,2,5,5,Indiana Wesleyan University,4,0
3,01/16/2015,1,1,1,2,2,1,2,1,Indiana Wesleyan University,2,6
4,12/24/2014,4,4,5,1,3,3,5,5,Indiana Wesleyan University,5,0
4,12/21/2014,4,3,3,0,3,2,5,5,Indiana Wesleyan University,5,0
4,12/18/2014,5,4,4,0,3,4,4,5,Indiana Wesleyan University,5,0
2,12/14/2014,3,1,1,1,3,1,1,2,Indiana Wesleyan University,3,2
5,05/12/2014,5,5,5,1,5,3,5,5,Indiana Wesleyan University,5,1
3,02/11/2014,5,4,3,1,3,4,5,4,Indiana Wesleyan University,5,0
3,02/07/2014,3,3,3,0,2,4,5,4,Indiana Wesleyan University,4,0
3,01/10/2014,3,4,3,0,4,2,1,3,Indiana Wesleyan University,4,1
3,01/06/2014,4,5,4,0,3,3,5,4,Indiana Wesleyan University,5,0
3,11/18/2013,4,4,1,2,1,1,1,3,Indiana Wesleyan University,5,4
4,11/15/2013,4,4,4,1,3,4,5,4,Indiana Wesleyan University,5,0
5,10/26/2013,5,4,5,0,2,4,5,4,Indiana Wesleyan University,5,0
5,08/21/2013,5,5,4,0,4,4,5,5,Indiana Wesleyan University,5,0
4,04/30/2013,5,4,4,0,3,4,5,4,Indiana Wesleyan University,5,1
3,03/20/2013,4,4,1,0,3,2,5,5,Indiana Wesleyan University,5,0
5,10/31/2012,5,5,5,0,3,5,5,5,Indiana Wesleyan University,5,0
